# Emoji panel data
# Source: unicode.org/Public/emoji/latest/emoji-test.txt v17.0
# Format: each non-comment line is one of:
#   G	<group name>
#   E	<emoji>             (base emoji in the most recent group)
#   T	<base>	<variant1>	...   (skin tone variants for a base)
E	👶
T	👶	👶🏻	👶🏼	👶🏽	👶🏾	👶🏿
E	🧒
T	🧒	🧒🏻	🧒🏼	🧒🏽	🧒🏾	🧒🏿
E	👦
T	👦	👦🏻	👦🏼	👦🏽	👦🏾	👦🏿
E	👧
T	👧	👧🏻	👧🏼	👧🏽	👧🏾	👧🏿
E	🧑
T	🧑	🧑🏻	🧑🏼	🧑🏽	🧑🏾	🧑🏿
E	👱
T	👱	👱🏻	👱🏼	👱🏽	👱🏾	👱🏿
E	👨
T	👨	👨🏻	👨🏼	👨🏽	👨🏾	👨🏿
E	🧔
T	🧔	🧔🏻	🧔🏼	🧔🏽	🧔🏾	🧔🏿
E	🧔‍♂️
T	🧔‍♂️	🧔🏻‍♂️	🧔🏼‍♂️	🧔🏽‍♂️	🧔🏾‍♂️	🧔🏿‍♂️
E	🧔‍♀️
T	🧔‍♀️	🧔🏻‍♀️	🧔🏼‍♀️	🧔🏽‍♀️	🧔🏾‍♀️	🧔🏿‍♀️
E	👨‍🦰
T	👨‍🦰	👨🏻‍🦰	👨🏼‍🦰	👨🏽‍🦰	👨🏾‍🦰	👨🏿‍🦰
E	👨‍🦱
T	👨‍🦱	👨🏻‍🦱	👨🏼‍🦱	👨🏽‍🦱	👨🏾‍🦱	👨🏿‍🦱
E	👨‍🦳
T	👨‍🦳	👨🏻‍🦳	👨🏼‍🦳	👨🏽‍🦳	👨🏾‍🦳	👨🏿‍🦳
E	👨‍🦲
T	👨‍🦲	👨🏻‍🦲	👨🏼‍🦲	👨🏽‍🦲	👨🏾‍🦲	👨🏿‍🦲
E	👩
T	👩	👩🏻	👩🏼	👩🏽	👩🏾	👩🏿
E	👩‍🦰
T	👩‍🦰	👩🏻‍🦰	👩🏼‍🦰	👩🏽‍🦰	👩🏾‍🦰	👩🏿‍🦰
E	🧑‍🦰
T	🧑‍🦰	🧑🏻‍🦰	🧑🏼‍🦰	🧑🏽‍🦰	🧑🏾‍🦰	🧑🏿‍🦰
E	👩‍🦱
T	👩‍🦱	👩🏻‍🦱	👩🏼‍🦱	👩🏽‍🦱	👩🏾‍🦱	👩🏿‍🦱
E	🧑‍🦱
T	🧑‍🦱	🧑🏻‍🦱	🧑🏼‍🦱	🧑🏽‍🦱	🧑🏾‍🦱	🧑🏿‍🦱
E	👩‍🦳
T	👩‍🦳	👩🏻‍🦳	👩🏼‍🦳	👩🏽‍🦳	👩🏾‍🦳	👩🏿‍🦳
E	🧑‍🦳
T	🧑‍🦳	🧑🏻‍🦳	🧑🏼‍🦳	🧑🏽‍🦳	🧑🏾‍🦳	🧑🏿‍🦳
E	👩‍🦲
T	👩‍🦲	👩🏻‍🦲	👩🏼‍🦲	👩🏽‍🦲	👩🏾‍🦲	👩🏿‍🦲
E	🧑‍🦲
T	🧑‍🦲	🧑🏻‍🦲	🧑🏼‍🦲	🧑🏽‍🦲	🧑🏾‍🦲	🧑🏿‍🦲
E	👱‍♀️
T	👱‍♀️	👱🏻‍♀️	👱🏼‍♀️	👱🏽‍♀️	👱🏾‍♀️	👱🏿‍♀️
E	👱‍♂️
T	👱‍♂️	👱🏻‍♂️	👱🏼‍♂️	👱🏽‍♂️	👱🏾‍♂️	👱🏿‍♂️
E	🧓
T	🧓	🧓🏻	🧓🏼	🧓🏽	🧓🏾	🧓🏿
E	👴
T	👴	👴🏻	👴🏼	👴🏽	👴🏾	👴🏿
E	👵
T	👵	👵🏻	👵🏼	👵🏽	👵🏾	👵🏿
E	🙍
T	🙍	🙍🏻	🙍🏼	🙍🏽	🙍🏾	🙍🏿
E	🙍‍♂️
T	🙍‍♂️	🙍🏻‍♂️	🙍🏼‍♂️	🙍🏽‍♂️	🙍🏾‍♂️	🙍🏿‍♂️
E	🙍‍♀️
T	🙍‍♀️	🙍🏻‍♀️	🙍🏼‍♀️	🙍🏽‍♀️	🙍🏾‍♀️	🙍🏿‍♀️
E	🙎
T	🙎	🙎🏻	🙎🏼	🙎🏽	🙎🏾	🙎🏿
E	🙎‍♂️
T	🙎‍♂️	🙎🏻‍♂️	🙎🏼‍♂️	🙎🏽‍♂️	🙎🏾‍♂️	🙎🏿‍♂️
E	🙎‍♀️
T	🙎‍♀️	🙎🏻‍♀️	🙎🏼‍♀️	🙎🏽‍♀️	🙎🏾‍♀️	🙎🏿‍♀️
E	🙅
T	🙅	🙅🏻	🙅🏼	🙅🏽	🙅🏾	🙅🏿
E	🙅‍♂️
T	🙅‍♂️	🙅🏻‍♂️	🙅🏼‍♂️	🙅🏽‍♂️	🙅🏾‍♂️	🙅🏿‍♂️
E	🙅‍♀️
T	🙅‍♀️	🙅🏻‍♀️	🙅🏼‍♀️	🙅🏽‍♀️	🙅🏾‍♀️	🙅🏿‍♀️
E	🙆
T	🙆	🙆🏻	🙆🏼	🙆🏽	🙆🏾	🙆🏿
E	🙆‍♂️
T	🙆‍♂️	🙆🏻‍♂️	🙆🏼‍♂️	🙆🏽‍♂️	🙆🏾‍♂️	🙆🏿‍♂️
E	🙆‍♀️
T	🙆‍♀️	🙆🏻‍♀️	🙆🏼‍♀️	🙆🏽‍♀️	🙆🏾‍♀️	🙆🏿‍♀️
E	💁
T	💁	💁🏻	💁🏼	💁🏽	💁🏾	💁🏿
E	💁‍♂️
T	💁‍♂️	💁🏻‍♂️	💁🏼‍♂️	💁🏽‍♂️	💁🏾‍♂️	💁🏿‍♂️
E	💁‍♀️
T	💁‍♀️	💁🏻‍♀️	💁🏼‍♀️	💁🏽‍♀️	💁🏾‍♀️	💁🏿‍♀️
E	🙋
T	🙋	🙋🏻	🙋🏼	🙋🏽	🙋🏾	🙋🏿
E	🙋‍♂️
T	🙋‍♂️	🙋🏻‍♂️	🙋🏼‍♂️	🙋🏽‍♂️	🙋🏾‍♂️	🙋🏿‍♂️
E	🙋‍♀️
T	🙋‍♀️	🙋🏻‍♀️	🙋🏼‍♀️	🙋🏽‍♀️	🙋🏾‍♀️	🙋🏿‍♀️
E	🧏
T	🧏	🧏🏻	🧏🏼	🧏🏽	🧏🏾	🧏🏿
E	🧏‍♂️
T	🧏‍♂️	🧏🏻‍♂️	🧏🏼‍♂️	🧏🏽‍♂️	🧏🏾‍♂️	🧏🏿‍♂️
E	🧏‍♀️
T	🧏‍♀️	🧏🏻‍♀️	🧏🏼‍♀️	🧏🏽‍♀️	🧏🏾‍♀️	🧏🏿‍♀️
E	🙇
T	🙇	🙇🏻	🙇🏼	🙇🏽	🙇🏾	🙇🏿
E	🙇‍♂️
T	🙇‍♂️	🙇🏻‍♂️	🙇🏼‍♂️	🙇🏽‍♂️	🙇🏾‍♂️	🙇🏿‍♂️
E	🙇‍♀️
T	🙇‍♀️	🙇🏻‍♀️	🙇🏼‍♀️	🙇🏽‍♀️	🙇🏾‍♀️	🙇🏿‍♀️
E	🤦
T	🤦	🤦🏻	🤦🏼	🤦🏽	🤦🏾	🤦🏿
E	🤦‍♂️
T	🤦‍♂️	🤦🏻‍♂️	🤦🏼‍♂️	🤦🏽‍♂️	🤦🏾‍♂️	🤦🏿‍♂️
E	🤦‍♀️
T	🤦‍♀️	🤦🏻‍♀️	🤦🏼‍♀️	🤦🏽‍♀️	🤦🏾‍♀️	🤦🏿‍♀️
E	🤷
T	🤷	🤷🏻	🤷🏼	🤷🏽	🤷🏾	🤷🏿
E	🤷‍♂️
T	🤷‍♂️	🤷🏻‍♂️	🤷🏼‍♂️	🤷🏽‍♂️	🤷🏾‍♂️	🤷🏿‍♂️
E	🤷‍♀️
T	🤷‍♀️	🤷🏻‍♀️	🤷🏼‍♀️	🤷🏽‍♀️	🤷🏾‍♀️	🤷🏿‍♀️
E	🧑‍⚕️
T	🧑‍⚕️	🧑🏻‍⚕️	🧑🏼‍⚕️	🧑🏽‍⚕️	🧑🏾‍⚕️	🧑🏿‍⚕️
E	👨‍⚕️
T	👨‍⚕️	👨🏻‍⚕️	👨🏼‍⚕️	👨🏽‍⚕️	👨🏾‍⚕️	👨🏿‍⚕️
E	👩‍⚕️
T	👩‍⚕️	👩🏻‍⚕️	👩🏼‍⚕️	👩🏽‍⚕️	👩🏾‍⚕️	👩🏿‍⚕️
E	🧑‍🎓
T	🧑‍🎓	🧑🏻‍🎓	🧑🏼‍🎓	🧑🏽‍🎓	🧑🏾‍🎓	🧑🏿‍🎓
E	👨‍🎓
T	👨‍🎓	👨🏻‍🎓	👨🏼‍🎓	👨🏽‍🎓	👨🏾‍🎓	👨🏿‍🎓
E	👩‍🎓
T	👩‍🎓	👩🏻‍🎓	👩🏼‍🎓	👩🏽‍🎓	👩🏾‍🎓	👩🏿‍🎓
E	🧑‍🏫
T	🧑‍🏫	🧑🏻‍🏫	🧑🏼‍🏫	🧑🏽‍🏫	🧑🏾‍🏫	🧑🏿‍🏫
E	👨‍🏫
T	👨‍🏫	👨🏻‍🏫	👨🏼‍🏫	👨🏽‍🏫	👨🏾‍🏫	👨🏿‍🏫
E	👩‍🏫
T	👩‍🏫	👩🏻‍🏫	👩🏼‍🏫	👩🏽‍🏫	👩🏾‍🏫	👩🏿‍🏫
E	🧑‍⚖️
T	🧑‍⚖️	🧑🏻‍⚖️	🧑🏼‍⚖️	🧑🏽‍⚖️	🧑🏾‍⚖️	🧑🏿‍⚖️
E	👨‍⚖️
T	👨‍⚖️	👨🏻‍⚖️	👨🏼‍⚖️	👨🏽‍⚖️	👨🏾‍⚖️	👨🏿‍⚖️
E	👩‍⚖️
T	👩‍⚖️	👩🏻‍⚖️	👩🏼‍⚖️	👩🏽‍⚖️	👩🏾‍⚖️	👩🏿‍⚖️
E	🧑‍🌾
T	🧑‍🌾	🧑🏻‍🌾	🧑🏼‍🌾	🧑🏽‍🌾	🧑🏾‍🌾	🧑🏿‍🌾
E	👨‍🌾
T	👨‍🌾	👨🏻‍🌾	👨🏼‍🌾	👨🏽‍🌾	👨🏾‍🌾	👨🏿‍🌾
E	👩‍🌾
T	👩‍🌾	👩🏻‍🌾	👩🏼‍🌾	👩🏽‍🌾	👩🏾‍🌾	👩🏿‍🌾
E	🧑‍🍳
T	🧑‍🍳	🧑🏻‍🍳	🧑🏼‍🍳	🧑🏽‍🍳	🧑🏾‍🍳	🧑🏿‍🍳
E	👨‍🍳
T	👨‍🍳	👨🏻‍🍳	👨🏼‍🍳	👨🏽‍🍳	👨🏾‍🍳	👨🏿‍🍳
E	👩‍🍳
T	👩‍🍳	👩🏻‍🍳	👩🏼‍🍳	👩🏽‍🍳	👩🏾‍🍳	👩🏿‍🍳
E	🧑‍🔧
T	🧑‍🔧	🧑🏻‍🔧	🧑🏼‍🔧	🧑🏽‍🔧	🧑🏾‍🔧	🧑🏿‍🔧
E	👨‍🔧
T	👨‍🔧	👨🏻‍🔧	👨🏼‍🔧	👨🏽‍🔧	👨🏾‍🔧	👨🏿‍🔧
E	👩‍🔧
T	👩‍🔧	👩🏻‍🔧	👩🏼‍🔧	👩🏽‍🔧	👩🏾‍🔧	👩🏿‍🔧
E	🧑‍🏭
T	🧑‍🏭	🧑🏻‍🏭	🧑🏼‍🏭	🧑🏽‍🏭	🧑🏾‍🏭	🧑🏿‍🏭
E	👨‍🏭
T	👨‍🏭	👨🏻‍🏭	👨🏼‍🏭	👨🏽‍🏭	👨🏾‍🏭	👨🏿‍🏭
E	👩‍🏭
T	👩‍🏭	👩🏻‍🏭	👩🏼‍🏭	👩🏽‍🏭	👩🏾‍🏭	👩🏿‍🏭
E	🧑‍💼
T	🧑‍💼	🧑🏻‍💼	🧑🏼‍💼	🧑🏽‍💼	🧑🏾‍💼	🧑🏿‍💼
E	👨‍💼
T	👨‍💼	👨🏻‍💼	👨🏼‍💼	👨🏽‍💼	👨🏾‍💼	👨🏿‍💼
E	👩‍💼
T	👩‍💼	👩🏻‍💼	👩🏼‍💼	👩🏽‍💼	👩🏾‍💼	👩🏿‍💼
E	🧑‍🔬
T	🧑‍🔬	🧑🏻‍🔬	🧑🏼‍🔬	🧑🏽‍🔬	🧑🏾‍🔬	🧑🏿‍🔬
E	👨‍🔬
T	👨‍🔬	👨🏻‍🔬	👨🏼‍🔬	👨🏽‍🔬	👨🏾‍🔬	👨🏿‍🔬
E	👩‍🔬
T	👩‍🔬	👩🏻‍🔬	👩🏼‍🔬	👩🏽‍🔬	👩🏾‍🔬	👩🏿‍🔬
E	🧑‍💻
T	🧑‍💻	🧑🏻‍💻	🧑🏼‍💻	🧑🏽‍💻	🧑🏾‍💻	🧑🏿‍💻
E	👨‍💻
T	👨‍💻	👨🏻‍💻	👨🏼‍💻	👨🏽‍💻	👨🏾‍💻	👨🏿‍💻
E	👩‍💻
T	👩‍💻	👩🏻‍💻	👩🏼‍💻	👩🏽‍💻	👩🏾‍💻	👩🏿‍💻
E	🧑‍🎤
T	🧑‍🎤	🧑🏻‍🎤	🧑🏼‍🎤	🧑🏽‍🎤	🧑🏾‍🎤	🧑🏿‍🎤
E	👨‍🎤
T	👨‍🎤	👨🏻‍🎤	👨🏼‍🎤	👨🏽‍🎤	👨🏾‍🎤	👨🏿‍🎤
E	👩‍🎤
T	👩‍🎤	👩🏻‍🎤	👩🏼‍🎤	👩🏽‍🎤	👩🏾‍🎤	👩🏿‍🎤
E	🧑‍🎨
T	🧑‍🎨	🧑🏻‍🎨	🧑🏼‍🎨	🧑🏽‍🎨	🧑🏾‍🎨	🧑🏿‍🎨
E	👨‍🎨
T	👨‍🎨	👨🏻‍🎨	👨🏼‍🎨	👨🏽‍🎨	👨🏾‍🎨	👨🏿‍🎨
E	👩‍🎨
T	👩‍🎨	👩🏻‍🎨	👩🏼‍🎨	👩🏽‍🎨	👩🏾‍🎨	👩🏿‍🎨
E	🧑‍✈️
T	🧑‍✈️	🧑🏻‍✈️	🧑🏼‍✈️	🧑🏽‍✈️	🧑🏾‍✈️	🧑🏿‍✈️
E	👨‍✈️
T	👨‍✈️	👨🏻‍✈️	👨🏼‍✈️	👨🏽‍✈️	👨🏾‍✈️	👨🏿‍✈️
E	👩‍✈️
T	👩‍✈️	👩🏻‍✈️	👩🏼‍✈️	👩🏽‍✈️	👩🏾‍✈️	👩🏿‍✈️
E	🧑‍🚀
T	🧑‍🚀	🧑🏻‍🚀	🧑🏼‍🚀	🧑🏽‍🚀	🧑🏾‍🚀	🧑🏿‍🚀
E	👨‍🚀
T	👨‍🚀	👨🏻‍🚀	👨🏼‍🚀	👨🏽‍🚀	👨🏾‍🚀	👨🏿‍🚀
E	👩‍🚀
T	👩‍🚀	👩🏻‍🚀	👩🏼‍🚀	👩🏽‍🚀	👩🏾‍🚀	👩🏿‍🚀
E	🧑‍🚒
T	🧑‍🚒	🧑🏻‍🚒	🧑🏼‍🚒	🧑🏽‍🚒	🧑🏾‍🚒	🧑🏿‍🚒
E	👨‍🚒
T	👨‍🚒	👨🏻‍🚒	👨🏼‍🚒	👨🏽‍🚒	👨🏾‍🚒	👨🏿‍🚒
E	👩‍🚒
T	👩‍🚒	👩🏻‍🚒	👩🏼‍🚒	👩🏽‍🚒	👩🏾‍🚒	👩🏿‍🚒
E	👮
T	👮	👮🏻	👮🏼	👮🏽	👮🏾	👮🏿
E	👮‍♂️
T	👮‍♂️	👮🏻‍♂️	👮🏼‍♂️	👮🏽‍♂️	👮🏾‍♂️	👮🏿‍♂️
E	👮‍♀️
T	👮‍♀️	👮🏻‍♀️	👮🏼‍♀️	👮🏽‍♀️	👮🏾‍♀️	👮🏿‍♀️
E	🕵️
E	🕵️‍♂️
E	🕵️‍♀️
E	💂
T	💂	💂🏻	💂🏼	💂🏽	💂🏾	💂🏿
E	💂‍♂️
T	💂‍♂️	💂🏻‍♂️	💂🏼‍♂️	💂🏽‍♂️	💂🏾‍♂️	💂🏿‍♂️
E	💂‍♀️
T	💂‍♀️	💂🏻‍♀️	💂🏼‍♀️	💂🏽‍♀️	💂🏾‍♀️	💂🏿‍♀️
E	🥷
T	🥷	🥷🏻	🥷🏼	🥷🏽	🥷🏾	🥷🏿
E	👷
T	👷	👷🏻	👷🏼	👷🏽	👷🏾	👷🏿
E	👷‍♂️
T	👷‍♂️	👷🏻‍♂️	👷🏼‍♂️	👷🏽‍♂️	👷🏾‍♂️	👷🏿‍♂️
E	👷‍♀️
T	👷‍♀️	👷🏻‍♀️	👷🏼‍♀️	👷🏽‍♀️	👷🏾‍♀️	👷🏿‍♀️
E	🫅
T	🫅	🫅🏻	🫅🏼	🫅🏽	🫅🏾	🫅🏿
E	🤴
T	🤴	🤴🏻	🤴🏼	🤴🏽	🤴🏾	🤴🏿
E	👸
T	👸	👸🏻	👸🏼	👸🏽	👸🏾	👸🏿
E	👳
T	👳	👳🏻	👳🏼	👳🏽	👳🏾	👳🏿
E	👳‍♂️
T	👳‍♂️	👳🏻‍♂️	👳🏼‍♂️	👳🏽‍♂️	👳🏾‍♂️	👳🏿‍♂️
E	👳‍♀️
T	👳‍♀️	👳🏻‍♀️	👳🏼‍♀️	👳🏽‍♀️	👳🏾‍♀️	👳🏿‍♀️
E	👲
T	👲	👲🏻	👲🏼	👲🏽	👲🏾	👲🏿
E	🧕
T	🧕	🧕🏻	🧕🏼	🧕🏽	🧕🏾	🧕🏿
E	🤵
T	🤵	🤵🏻	🤵🏼	🤵🏽	🤵🏾	🤵🏿
E	🤵‍♂️
T	🤵‍♂️	🤵🏻‍♂️	🤵🏼‍♂️	🤵🏽‍♂️	🤵🏾‍♂️	🤵🏿‍♂️
E	🤵‍♀️
T	🤵‍♀️	🤵🏻‍♀️	🤵🏼‍♀️	🤵🏽‍♀️	🤵🏾‍♀️	🤵🏿‍♀️
E	👰
T	👰	👰🏻	👰🏼	👰🏽	👰🏾	👰🏿
E	👰‍♂️
T	👰‍♂️	👰🏻‍♂️	👰🏼‍♂️	👰🏽‍♂️	👰🏾‍♂️	👰🏿‍♂️
E	👰‍♀️
T	👰‍♀️	👰🏻‍♀️	👰🏼‍♀️	👰🏽‍♀️	👰🏾‍♀️	👰🏿‍♀️
E	🤰
T	🤰	🤰🏻	🤰🏼	🤰🏽	🤰🏾	🤰🏿
E	🫃
T	🫃	🫃🏻	🫃🏼	🫃🏽	🫃🏾	🫃🏿
E	🫄
T	🫄	🫄🏻	🫄🏼	🫄🏽	🫄🏾	🫄🏿
E	🤱
T	🤱	🤱🏻	🤱🏼	🤱🏽	🤱🏾	🤱🏿
E	👩‍🍼
T	👩‍🍼	👩🏻‍🍼	👩🏼‍🍼	👩🏽‍🍼	👩🏾‍🍼	👩🏿‍🍼
E	👨‍🍼
T	👨‍🍼	👨🏻‍🍼	👨🏼‍🍼	👨🏽‍🍼	👨🏾‍🍼	👨🏿‍🍼
E	🧑‍🍼
T	🧑‍🍼	🧑🏻‍🍼	🧑🏼‍🍼	🧑🏽‍🍼	🧑🏾‍🍼	🧑🏿‍🍼
E	👼
T	👼	👼🏻	👼🏼	👼🏽	👼🏾	👼🏿
E	🎅
T	🎅	🎅🏻	🎅🏼	🎅🏽	🎅🏾	🎅🏿
E	🤶
T	🤶	🤶🏻	🤶🏼	🤶🏽	🤶🏾	🤶🏿
E	🧑‍🎄
T	🧑‍🎄	🧑🏻‍🎄	🧑🏼‍🎄	🧑🏽‍🎄	🧑🏾‍🎄	🧑🏿‍🎄
E	🦸
T	🦸	🦸🏻	🦸🏼	🦸🏽	🦸🏾	🦸🏿
E	🦸‍♂️
T	🦸‍♂️	🦸🏻‍♂️	🦸🏼‍♂️	🦸🏽‍♂️	🦸🏾‍♂️	🦸🏿‍♂️
E	🦸‍♀️
T	🦸‍♀️	🦸🏻‍♀️	🦸🏼‍♀️	🦸🏽‍♀️	🦸🏾‍♀️	🦸🏿‍♀️
E	🦹
T	🦹	🦹🏻	🦹🏼	🦹🏽	🦹🏾	🦹🏿
E	🦹‍♂️
T	🦹‍♂️	🦹🏻‍♂️	🦹🏼‍♂️	🦹🏽‍♂️	🦹🏾‍♂️	🦹🏿‍♂️
E	🦹‍♀️
T	🦹‍♀️	🦹🏻‍♀️	🦹🏼‍♀️	🦹🏽‍♀️	🦹🏾‍♀️	🦹🏿‍♀️
E	🧙
T	🧙	🧙🏻	🧙🏼	🧙🏽	🧙🏾	🧙🏿
E	🧙‍♂️
T	🧙‍♂️	🧙🏻‍♂️	🧙🏼‍♂️	🧙🏽‍♂️	🧙🏾‍♂️	🧙🏿‍♂️
E	🧙‍♀️
T	🧙‍♀️	🧙🏻‍♀️	🧙🏼‍♀️	🧙🏽‍♀️	🧙🏾‍♀️	🧙🏿‍♀️
E	🧚
T	🧚	🧚🏻	🧚🏼	🧚🏽	🧚🏾	🧚🏿
E	🧚‍♂️
T	🧚‍♂️	🧚🏻‍♂️	🧚🏼‍♂️	🧚🏽‍♂️	🧚🏾‍♂️	🧚🏿‍♂️
E	🧚‍♀️
T	🧚‍♀️	🧚🏻‍♀️	🧚🏼‍♀️	🧚🏽‍♀️	🧚🏾‍♀️	🧚🏿‍♀️
E	🧛
T	🧛	🧛🏻	🧛🏼	🧛🏽	🧛🏾	🧛🏿
E	🧛‍♂️
T	🧛‍♂️	🧛🏻‍♂️	🧛🏼‍♂️	🧛🏽‍♂️	🧛🏾‍♂️	🧛🏿‍♂️
E	🧛‍♀️
